#Source = https://coinmarketcap.com/all/views/all/,Retrieved: 21/10/20,,,,,,,,,,
Rank,Name,Symbol,Market Cap,Markey Cap (cleaned),Price,Circulating Supply,Circulating (cleaned),Volume (24h),% 1h,% 24h,% 7d
1308,ADAMANT Messenger,ADM,"$642,933 ",642933,$0.01 ,"85,260,896 ADM",85260896,$291 ,-5.31%,-4.99%,-25.56%
1309,Origami,ORI,"$641,255 ",641255,$0.15 ,"4,225,879 ORI *",4225879,$?,2.24%,0.06%,2486.54%
1310,Hacken Token,HAI,"$631,722 ",631722,$0.01 ,"45,941,003 HAI *",45941003,"$36,815 ",-0.11%,-10.95%,-17.24%
1311,Bitcoin Plus,XBC,"$634,307 ",634307,$4.28 ,"148,200 XBC *",148200,"$30,687 ",0.25%,2.60%,24.85%
1312,CVCoin,CVN,"$639,307 ",639307,$0.05 ,"12,380,890 CVN *",12380890,"$21,587 ",3.64%,19.31%,20.14%
1313,USDX [Lighthouse],USDX,"$632,629 ",632629,$0.17 ,"3,772,554 USDX *",3772554,"$1,205 ",0.03%,0.67%,0.89%
1314,Lead Wallet,LEAD,"$636,154 ",636154,$0.00 ,"454,310,845 LEAD *",454310845,"$109,225 ",-3.21%,-20.57%,80.68%
1315,Project WITH,WIKEN,"$613,436 ",613436,$0.00 ,"335,451,107 WIKEN *",335451107,"$281,714 ",1.79%,4.10%,17.06%
1316,Bitcoin Confidential,BC,"$633,182 ",633182,$0.00 ,"7,365,901,523 BC *",7365901523,"$1,425 ",4.35%,-0.68%,-11.83%
1317,HEAT,HEAT,"$628,814 ",628814,$0.01 ,"46,467,599 HEAT *",46467599,$36 ,5.59%,6.99%,-25.08%
1318,Bidesk,BDK,"$628,904 ",628904,$0.08 ,"7,977,478 BDK *",7977478,"$76,692 ",-0.48%,-1.33%,-2.33%
1319,ATC Coin,ATCC,"$645,884 ",645884,$0.00 ,"408,453,792 ATCC *",408453792,$220 ,-1.16%,12.52%,15.26%
1320,StarCoin,KST,"$626,576 ",626576,$0.00 ,"1,511,631,077 KST *",1511631077,$?,1.79%,4.10%,6.64%
1321,Maxcoin,MAX,"$618,096 ",618096,$0.01 ,"61,445,805 MAX",61445805,$?,-44.60%,-44.48%,-44.46%
1322,Essentia,ESS,"$615,469 ",615469,$0.00 ,"880,941,362 ESS *",880941362,"$11,723 ",2.07%,-2.08%,-7.66%
1323,0xBitcoin,0xBTC,"$614,434 ",614434,$0.11 ,"5,736,550 0xBTC",5736550,"$1,641,110 ",14.03%,-2.88%,4.44%
1324,Okschain,OKS,"$609,011 ",609011,$0.00 ,"1,135,330,000 OKS *",1135330000,"$11,594 ",1.79%,69.64%,2.00%
1325,Omix,OMX,"$608,899 ",608899,$0.00 ,"911,746,999 OMX *",911746999,$?,2.24%,0.06%,-0.41%
1326,CRDT,CRDT,"$606,929 ",606929,$0.14 ,"4,242,034 CRDT *",4242034,"$208,400 ",1.02%,-0.18%,-0.31%
1327,OWNDATA,OWN,"$606,132 ",606132,$0.00 ,"10,246,200,519 OWN *",10246200519,$?,2.24%,0.06%,42.94%
1328,PowerTrade Fuel,PTF,"$604,080 ",604080,$0.15 ,"4,000,000 PTF *",4000000,"$210,961 ",0.02%,-1.91%,-35.81%
1329,BitcoinZ,BTCZ,"$602,949 ",602949,$0.00 ,"7,893,435,203 BTCZ",7893435203,"$37,196 ",5.90%,4.31%,4.78%
1330,StrongHands,SHND,"$600,248 ",600248,$0.00 ,"16,732,391,737 SHND",16732391737,$980 ,-7.94%,74.14%,214.22%
1331,Heart Number,HTN,"$595,088 ",595088,$0.00 ,"2,004,185,483 HTN *",2004185483,"$286,654 ",-0.52%,-18.24%,-28.67%
1332,Pamp Network,PAMP,"$599,353 ",599353,$0.25 ,"2,431,244 PAMP *",2431244,"$794,233 ",1.38%,-24.92%,-34.98%
1333,Indorse Token,IND,"$593,336 ",593336,$0.02 ,"37,480,419 IND *",37480419,"$3,867 ",0.28%,33.91%,126.58%
1334,Nasdacoin,NSD,"$593,486 ",593486,$0.03 ,"22,934,957 NSD",22934957,"$432,019 ",-4.80%,5.51%,1.07%
1335,Azbit,AZ,"$591,402 ",591402,$0.00 ,"80,850,477,112 AZ *",80850477112,$25 ,1.79%,4.10%,-8.60%
1336,YGGDRASH,YEED,"$590,937 ",590937,$0.00 ,"5,447,415,594 YEED *",5447415594,"$88,299 ",-0.52%,-41.07%,-5.27%
1337,Bitcoin Private,BTCP,"$590,450 ",590450,$0.12 ,"4,785,761 BTCP",4785761,"$4,236 ",0.79%,-11.21%,7.58%
1338,Matryx,MTX,"$590,000 ",590000,$0.03 ,"23,224,303 MTX *",23224303,"$37,987 ",1.91%,4.35%,-7.31%
1339,Cajutel,CAJ,"$585,652 ",585652,$0.43 ,"1,352,389 CAJ *",1352389,$?,0.76%,23.22%,-69.07%
1340,Mercury,MER,"$585,181 ",585181,$0.01 ,"100,000,000 MER *",100000000,"$3,656 ",6.21%,4.10%,-1.57%
1341,Swapcoinz,SPAZ,"$583,091 ",583091,$0.06 ,"10,597,550 SPAZ *",10597550,"$176,685 ",2.01%,3.99%,24.03%
1342,NFX Coin,NFXC,"$578,975 ",578975,$0.00 ,"121,771,235 NFXC *",121771235,$745 ,1.79%,-20.40%,-78.11%
1343,Edgeless,EDG,"$575,930 ",575930,$0.00 ,"119,146,967 EDG *",119146967,$740 ,1.63%,-6.26%,-1.73%
1344,Xriba,XRA,"$574,414 ",574414,$0.01 ,"106,570,262 XRA *",106570262,$12 ,-13.83%,1.49%,-14.85%
1345,AGA Token,AGA,"$573,627 ",573627,$0.41 ,"1,412,983 AGA *",1412983,"$17,464 ",1.71%,4.70%,-24.05%
1346,Pizza,PIZZA,"$570,682 ",570682,$0.02 ,"29,851,248 PIZZA *",29851248,$90 ,-0.12%,-4.55%,-1.45%
1347,Electronic Energy Coin,E2C,"$585,674 ",585674,$0.00 ,"433,657,273 E2C *",433657273,"$4,053 ",0.02%,-20.28%,12.24%
1348,ATMChain,ATM,"$568,148 ",568148,$0.00 ,"4,660,285,460 ATM *",4660285460,$?,1.79%,4.10%,6.64%
1349,X8X Token,X8X,"$562,915 ",562915,$0.01 ,"82,522,341 X8X *",82522341,$301 ,-0.16%,-8.32%,-44.25%
1350,BitDegree,BDG,"$564,891 ",564891,$0.00 ,"384,560,931 BDG *",384560931,$229 ,1.79%,29.60%,9.88%
1351,Crowd Machine,CMCT,"$563,985 ",563985,$0.00 ,"470,164,800 CMCT *",470164800,"$15,320 ",1.79%,-5.48%,4.92%
1352,Primalbase Token,PBT,"$563,694 ",563694,$450.95 ,"1,250 PBT *",1250,$3 ,1.79%,1.36%,12.73%
1353,Pigeoncoin,PGN,"$561,386 ",561386,$0.00 ,"6,366,129,865 PGN",6366129865,"$36,002 ",7.01%,11.32%,7.72%
1354,Zen Protocol,ZP,"$558,316 ",558316,$0.02 ,"22,636,450 ZP",22636450,$154 ,-6.20%,-9.75%,-6.88%
1355,ZMINE,ZMN,"$556,828 ",556828,$0.00 ,"147,336,646 ZMN *",147336646,$79 ,1.79%,4.10%,50.26%
1356,Cosmo Coin,COSM,"$556,414 ",556414,$0.00 ,"670,780,889 COSM *",670780889,$962 ,16.29%,-0.70%,9.63%
1357,LocalCoinSwap,LCS,"$562,287 ",562287,$0.01 ,"52,411,472 LCS *",52411472,"$14,128 ",1.79%,4.10%,2.00%
1358,NativeCoin,N8V,"$553,076 ",553076,$0.02 ,"24,151,135 N8V",24151135,"$8,975 ",-3.20%,9.08%,18.63%
1359,Quiztok,QTCON,"$552,352 ",552352,$0.02 ,"32,337,119 QTCON *",32337119,"$281,406 ",0.01%,16.26%,16.35%
1360,Jobchain,JOB,"$587,646 ",587646,$0.00 ,"4,762,282,486 JOB *",4762282486,"$51,955 ",-3.73%,27.63%,26.33%
1361,Nebula AI,NBAI,"$547,621 ",547621,$0.00 ,"1,254,943,205 NBAI *",1254943205,$417 ,2.24%,3.67%,0.78%
1362,StableUSD,USDS,"$545,942 ",545942,$1.01 ,"540,380 USDS *",540380,$315 ,2.38%,11.57%,6.61%
1363,Substratum,SUB,"$545,870 ",545870,$0.00 ,"383,021,000 SUB *",383021000,"$1,542 ",1.06%,-2.12%,-18.57%
1364,Liquidity Network,LQD,"$542,749 ",542749,$0.01 ,"53,334,645 LQD *",53334645,"$138,445 ",2.21%,1.87%,-0.63%
1365,Ormeus Cash,OMC,"$545,750 ",545750,$0.01 ,"70,313,475 OMC *",70313475,"$98,052 ",0.23%,1.54%,-4.02%
1366,FundRequest,FND,"$543,756 ",543756,$0.01 ,"47,782,545 FND *",47782545,$238 ,2.24%,200.09%,197.03%
1367,HiCoin,XHI,"$540,634 ",540634,$0.00 ,"4,434,602,828 XHI",4434602828,$?,1.79%,4.10%,6.64%
1368,Dether,DTH,"$542,008 ",542008,$0.01 ,"85,000,000 DTH *",85000000,$956 ,1.14%,-1.75%,-8.97%
1369,Cubiex,CBIX,"$540,433 ",540433,$0.01 ,"82,500,000 CBIX *",82500000,$?,1.63%,-1.79%,-8.10%
1370,Origin Dollar,OUSD,"$536,531 ",536531,$0.99 ,"543,523 OUSD *",543523,$?,0.02%,0.08%,0.04%
1371,BeatzCoin,BTZC,"$534,537 ",534537,$0.00 ,"2,095,130,570 BTZC *",2095130570,$568 ,1.16%,11.43%,9.96%
1372,FansTime,FTI,"$535,010 ",535010,$0.00 ,"2,850,000,000 FTI *",2850000000,"$407,102 ",2.54%,-6.82%,-0.86%
1373,STK,STK,"$519,452 ",519452,$0.00 ,"341,414,782 STK *",341414782,"$17,517 ",0.18%,2.05%,-0.32%
1374,Scrypta,LYRA,"$523,079 ",523079,$0.04 ,"13,741,421 LYRA *",13741421,"$1,823 ",0.58%,23.03%,19.18%
1375,Patron,PAT,"$523,108 ",523108,$0.00 ,"393,939,793 PAT *",393939793,"$11,424 ",0.56%,0.91%,2.34%
1376,Decentrahub Coin,DCNTR,"$521,271 ",521271,$3.22 ,"161,645 DCNTR *",161645,"$194,116 ",1.78%,3.89%,7.17%
1377,BEAT,BEAT,"$520,289 ",520289,$0.00 ,"124,741,038 BEAT *",124741038,$?,2.24%,0.06%,-0.98%
1378,CBDAO,BREE,"$517,075 ",517075,$0.48 ,"1,067,840 BREE *",1067840,"$136,207 ",2.88%,41.72%,-36.57%
1379,MEET.ONE,MEETONE,"$507,855 ",507855,$0.00 ,"1,913,271,866 MEETONE *",1913271866,"$49,273 ",-1.82%,-3.29%,-16.03%
1380,Safex Cash,SFX,"$513,870 ",513870,$0.01 ,"62,086,882 SFX",62086882,"$3,379 ",5.25%,19.60%,16.35%
1381,OptiToken,OPTI,"$514,412 ",514412,$0.02 ,"29,599,545 OPTI *",29599545,$?,2.17%,0.71%,204.03%
1382,Bancacy,BNY,"$513,966 ",513966,$0.00 ,"134,373,899 BNY *",134373899,$?,2.24%,0.06%,-0.90%
1383,Ink,INK,"$349,929 ",349929,$0.00 ,"463,910,527 INK *",463910527,"$5,021,861 ",-41.65%,-25.22%,15.50%
1384,Menlo One,ONE,"$512,953 ",512953,$0.00 ,"300,404,658 ONE *",300404658,$?,2.24%,0.06%,-0.98%
1385,Merebel,MERI,"$509,821 ",509821,$0.08 ,"6,195,344 MERI",6195344,$85 ,1.79%,41.95%,11.94%
1386,VegaWallet Token,VGW,"$509,312 ",509312,$0.03 ,"16,068,001 VGW *",16068001,$?,1.79%,4.10%,6.64%
1387,Datamine,DAM,"$506,574 ",506574,$0.11 ,"4,655,375 DAM *",4655375,"$193,406 ",1.42%,-3.56%,-9.40%
1388,REAL,REAL,"$501,660 ",501660,$0.05 ,"10,055,817 REAL *",10055817,$?,-0.16%,-12.45%,-58.35%
1389,OVCODE,OVC,"$501,683 ",501683,$0.01 ,"44,070,638 OVC *",44070638,$4 ,2.24%,0.06%,-0.98%
1390,Max Property Group,MPG,"$498,218 ",498218,$0.00 ,"142,223,550 MPG *",142223550,$722 ,0.79%,5.21%,2.69%
1391,MalwareChain,MALW,"$493,553 ",493553,$0.15 ,"3,314,492 MALW *",3314492,"$375,690 ",3.52%,0.12%,-0.50%
1392,COVA,COVA,"$493,036 ",493036,$0.00 ,"2,496,011,000 COVA *",2496011000,"$129,209 ",0.46%,-8.33%,-15.08%
1393,Faceter,FACE,"$492,143 ",492143,$0.00 ,"470,520,275 FACE *",470520275,$198 ,1.26%,-2.74%,4.04%
1394,Ixcoin,IXC,"$488,504 ",488504,$0.02 ,"21,145,061 IXC *",21145061,$?,1.79%,31.51%,-3.77%
1395,FYDcoin,FYD,"$486,958 ",486958,$0.00 ,"493,567,101 FYD",493567101,$120 ,7.78%,6.91%,-3.30%
1396,Spiking,SPIKE,"$486,251 ",486251,$0.00 ,"442,894,598 SPIKE *",442894598,$183 ,1.78%,-58.79%,-56.09%
1397,The ChampCoin,TCC,"$485,815 ",485815,$0.00 ,"175,749,859 TCC",175749859,"$35,513 ",0.89%,4.99%,4.83%
1398,Cappasity,CAPP,"$483,851 ",483851,$0.00 ,"663,271,025 CAPP *",663271025,$691 ,2.60%,5.23%,-4.54%
1399,Monarch,MT,"$484,787 ",484787,$0.01 ,"36,502,668 MT *",36502668,$?,2.24%,0.06%,-0.90%
1400,Rublix,RBLX,"$475,918 ",475918,$0.02 ,"20,781,284 RBLX *",20781284,$?,0.96%,-3.51%,-12.91%
1401,Dropil,DROP,"$475,197 ",475197,$0.00 ,"22,770,083,428 DROP *",22770083428,$?,2.24%,0.06%,-0.98%
1402,EOS TRUST,EOST,"$472,584 ",472584,$0.00 ,"7,518,810,122 EOST *",7518810122,$?,1.80%,3.97%,6.39%
1403,ImageCoin,IMG,"$484,499 ",484499,$0.05 ,"10,389,194 IMG *",10389194,"$3,764,150 ",1.10%,15.01%,7.90%
1404,ZelaaPayAE,ZPAE,"$470,963 ",470963,$0.00 ,"262,609,722 ZPAE *",262609722,"$183,478 ",-0.76%,5.64%,-17.84%
1405,Qwertycoin,QWC,"$468,652 ",468652,$0.00 ,"123,520,269,798 QWC",1.2352E+11,"$11,280 ",-6.95%,-9.02%,13.35%
1406,Sentient Coin,SEN,"$464,899 ",464899,$0.00 ,"1,352,262,603 SEN *",1352262603,$7 ,1.79%,-2.15%,-32.73%
1407,Moneytoken,IMT,"$465,189 ",465189,$0.00 ,"9,430,337,527 IMT *",9430337527,$9 ,2.24%,0.06%,-8.05%
1408,Paytomat,PTI,"$458,415 ",458415,$0.00 ,"166,030,078 PTI *",166030078,"$19,403 ",2.81%,-0.53%,-5.67%
1409,Novacoin,NVC,"$458,463 ",458463,$0.20 ,"2,335,757 NVC",2335757,$408 ,1.91%,4.29%,-78.54%
1410,Bitsdaq,BQQQ,"$457,020 ",457020,$0.00 ,"2,684,354,113 BQQQ *",2684354113,$71 ,0.59%,27.98%,8.37%
1411,ESBC,ESBC,"$455,959 ",455959,$0.02 ,"24,764,540 ESBC",24764540,"$193,475 ",-2.37%,2.55%,16.49%
1412,Sessia,KICKS,"$494,558 ",494558,$0.07 ,"6,944,076 KICKS *",6944076,"$462,300 ",1.92%,-3.07%,-10.95%
1413,Rate3,RTE,"$422,333 ",422333,$0.00 ,"889,382,388 RTE *",889382388,"$198,798 ",-4.64%,2.85%,-0.75%
1414,Smartshare,SSP,"$556,302 ",556302,$0.00 ,"4,639,918,911 SSP *",4639918911,"$38,874 ",10.84%,-1.13%,34.48%
1415,OLXA,OLXA,"$445,206 ",445206,$0.00 ,"1,359,419,210 OLXA *",1359419210,"$2,780 ",2.13%,9.89%,17.66%
1416,GAMB,GMB,"$443,737 ",443737,$0.00 ,"4,249,999,990 GMB *",4249999990,"$3,010 ",2.45%,5.76%,-12.98%
1417,Flixxo,FLIXX,"$440,687 ",440687,$0.01 ,"84,323,675 FLIXX *",84323675,$380 ,11.75%,8.84%,-15.35%
1418,NANJCOIN,NANJ,"$440,816 ",440816,$0.00 ,"19,361,889,557 NANJ *",19361889557,$0.23 ,2.24%,0.06%,197.06%
1419,Digital Insurance Token,DIT,"$438,435 ",438435,$0.00 ,"224,644,536 DIT *",224644536,$?,2.05%,24.90%,2.06%
1420,Solaris,XLR,"$436,452 ",436452,$0.23 ,"1,858,665 XLR *",1858665,"$193,818 ",1.89%,22.15%,2.87%
1421,Askobar Network,ASKO,"$442,411 ",442411,$0.01 ,"88,133,554 ASKO *",88133554,"$521,048 ",2.38%,5.80%,-5.23%
1422,Trollcoin,TROLL,"$433,626 ",433626,$0.00 ,"592,810,145 TROLL",592810145,$0.16 ,11.04%,56.15%,27.96%
1423,uPlexa,UPX,"$434,490 ",434490,$0.00 ,"2,433,274,873 UPX *",2433274873,"$8,652 ",2.22%,0.20%,-15.65%
1424,SafeInsure,SINS,"$432,618 ",432618,$0.02 ,"19,618,711 SINS *",19618711,"$1,042,701 ",0.00%,-2.77%,3.98%
1425,Vether,VETH,"$428,786 ",428786,$1.94 ,"220,491 VETH *",220491,$?,0.00%,0.00%,0.00%
1426,On.Live,ONL,"$427,403 ",427403,$0.02 ,"21,622,303 ONL *",21622303,"$3,010 ",1.14%,-2.26%,20.53%
1427,DECENT,DCT,"$425,460 ",425460,$0.01 ,"51,306,089 DCT *",51306089,"$17,392 ",1.78%,21.75%,150.12%
1428,CannabisCoin,CANN,"$423,696 ",423696,$0.01 ,"77,231,176 CANN",77231176,$?,1.78%,-2.41%,-5.91%
1429,ZOM,ZOM,"$421,849 ",421849,$0.01 ,"44,372,780 ZOM *",44372780,$?,1.76%,-0.19%,-20.17%
1430,FLIP,FLP,"$416,119 ",416119,$0.01 ,"55,955,000 FLP *",55955000,$350 ,1.79%,4.46%,-8.46%
1431,Semux,SEM,"$414,680 ",414680,$0.03 ,"12,712,343 SEM",12712343,"$61,533 ",1.73%,2.30%,-7.93%
1432,Patientory,PTOY,"$414,739 ",414739,$0.01 ,"70,000,000 PTOY *",70000000,"$3,808 ",1.78%,1.18%,-0.34%
1433,VeriumReserve,VRM,"$414,044 ",414044,$0.14 ,"2,917,729 VRM",2917729,"$1,932 ",0.49%,6.48%,13.98%
1434,PIXEL,PXL,"$421,856 ",421856,$0.01 ,"37,187,753 PXL *",37187753,"$55,984 ",0.31%,-0.65%,-4.03%
1435,Karbo,KRB,"$412,639 ",412639,$0.05 ,"8,747,265 KRB",8747265,"$20,071 ",1.05%,5.61%,-2.00%
1436,Lunyr,LUN,"$410,237 ",410237,$0.18 ,"2,297,853 LUN *",2297853,$187 ,-23.50%,15.48%,17.21%
1437,NeoWorld Cash,NASH,"$409,942 ",409942,$0.00 ,"23,709,948,546 NASH *",23709948546,"$9,093 ",3.24%,-0.55%,3.52%
1438,HEROcoin,PLAY,"$408,113 ",408113,$0.00 ,"189,957,035 PLAY *",189957035,$297 ,1.80%,7.37%,7.91%
1439,AtromG8,AG8,"$406,952 ",406952,$0.03 ,"12,688,094 AG8 *",12688094,"$167,568 ",0.02%,-9.42%,1.68%
1440,CryptoEnergy,CNRG,"$498,690 ",498690,$18.00 ,"27,700 CNRG *",27700,"$41,643 ",24.84%,4.55%,-11.09%
1441,Scala,XLA,"$406,737 ",406737,$0.00 ,"9,319,264,724 XLA",9319264724,$197 ,5.91%,-1.33%,-15.25%
1442,Membrana,MBN,"$394,530 ",394530,$0.00 ,"187,150,234 MBN *",187150234,"$42,302 ",12.88%,15.98%,-14.15%
1443,GoldMint,MNTP,"$404,355 ",404355,$0.21 ,"1,914,997 MNTP *",1914997,$728 ,-0.40%,-11.92%,-11.48%
1444,Insula,ISLA,"$398,179 ",398179,$0.64 ,"621,563 ISLA *",621563,"$3,426 ",-0.06%,-18.87%,168.75%
1445,SpectrumCash,XSM,"$395,879 ",395879,$0.00 ,"3,247,236,428 XSM",3247236428,$?,1.79%,4.10%,6.64%
1446,Delphy,DPY,"$395,026 ",395026,$0.01 ,"62,199,848 DPY *",62199848,"$1,085 ",3.25%,-0.83%,4.00%
1447,PetroDollar,XPD,"$390,081 ",390081,$0.01 ,"63,993,275 XPD",63993275,$?,1.79%,4.10%,6.64%
1448,ZCore,ZCR,"$389,937 ",389937,$0.05 ,"7,824,868 ZCR",7824868,$752 ,3.14%,10.29%,-0.79%
1449,MESG,MESG,"$388,978 ",388978,$0.01 ,"72,650,635 MESG *",72650635,$?,2.24%,0.06%,-0.98%
1450,Aeron,ARNX,"$387,932 ",387932,$0.02 ,"20,000,000 ARNX *",20000000,"$63,870 ",-1.14%,10.96%,18.79%
1451,FintruX Network,FTX,"$383,872 ",383872,$0.00 ,"95,000,000 FTX *",95000000,$676 ,-0.01%,0.85%,-19.76%
1452,Bitblocks,BBK,"$404,858 ",404858,$0.00 ,"249,535,968 BBK",249535968,"$8,900 ",5.86%,6.50%,9.16%
1453,ION,ION,"$381,792 ",381792,$0.03 ,"13,560,137 ION *",13560137,"$5,947 ",1.78%,0.17%,7.08%
1454,BOMB,BOMB,"$373,661 ",373661,$0.41 ,"916,475 BOMB *",916475,"$64,012 ",4.41%,3.11%,-1.05%
1455,Bridge Protocol,BRDG,"$381,260 ",381260,$0.00 ,"224,088,259 BRDG *",224088259,$989 ,-5.17%,-10.86%,-21.00%
1456,ZPER,ZPR,"$381,382 ",381382,$0.00 ,"1,166,647,645 ZPR *",1166647645,$4 ,0.01%,-1.46%,50.11%
1457,Egoras Dollar,EUSD,"$378,569 ",378569,$0.05 ,"7,610,617 EUSD *",7610617,$?,0.00%,0.00%,0.00%
1458,Niobium Coin,NBC,"$377,488 ",377488,$0.01 ,"61,927,668 NBC *",61927668,$42 ,18.36%,15.66%,-15.37%
1459,Orbitcoin,ORB,"$376,930 ",376930,$0.12 ,"3,220,616 ORB",3220616,"$2,138 ",1.79%,-1.25%,-7.94%
1460,WebDollar,WEBD,"$409,501 ",409501,$0.00 ,"11,087,140,871 WEBD",11087140871,"$6,091 ",0.13%,23.39%,-18.01%
1461,MIB Coin,MIB,"$371,599 ",371599,$0.00 ,"108,436,085 MIB *",108436085,$94 ,11.42%,27.70%,25.45%
1462,TouchCon,TOC,"$372,679 ",372679,$0.00 ,"102,200,364 TOC *",102200364,"$5,142 ",8.21%,-16.27%,-10.31%
1463,Axe,AXE,"$379,079 ",379079,$0.07 ,"5,260,968 AXE",5260968,"$2,230,579 ",7.60%,4.02%,10.73%
1464,Master Contract Token,MCT,"$373,297 ",373297,$0.00 ,"567,499,990 MCT *",567499990,"$12,161 ",1.85%,1.57%,-6.54%
1465,FujiCoin,FJC,"$370,558 ",370558,$0.00 ,"3,039,533,783 FJC",3039533783,$0.00 ,1.79%,4.10%,6.64%
1466,Pylon Network,PYLNT,"$370,169 ",370169,$0.64 ,"582,010 PYLNT *",582010,$159 ,1.79%,-9.49%,7.90%
1467,MidasProtocol,MAS,"$370,104 ",370104,$0.00 ,"195,540,521 MAS *",195540521,"$10,853 ",1.90%,57.48%,32.87%
1468,WinCash,WCC,"$367,637 ",367637,$0.25 ,"1,499,784 WCC *",1499784,"$15,789 ",1.43%,3.12%,0.87%
1469,ExclusiveCoin,EXCL,"$367,395 ",367395,$0.06 ,"5,851,627 EXCL",5851627,"$2,110 ",2.98%,3.30%,6.43%
1470,MineBee,MB,"$366,558 ",366558,$0.00 ,"1,830,117,455 MB *",1830117455,$?,0.02%,0.08%,0.04%
1471,Coinsbit Token,CNB,"$365,948 ",365948,$0.00 ,"1,331,266,628 CNB *",1331266628,"$111,355 ",-0.32%,-0.29%,-2.68%
1472,MyWish,WISH,"$366,392 ",366392,$0.04 ,"9,544,111 WISH *",9544111,$135 ,1.63%,-8.80%,-0.16%
1473,KanadeCoin,KNDC,"$364,636 ",364636,$0.00 ,"5,471,056,500 KNDC *",5471056500,$?,1.82%,485.85%,5.94%
1474,Social Send,SEND,"$361,558 ",361558,$0.01 ,"54,317,039 SEND *",54317039,$752 ,1.79%,11.45%,38.63%
1475,EverGreenCoin,EGC,"$357,756 ",357756,$0.02 ,"14,470,054 EGC",14470054,$24 ,1.78%,4.36%,8.07%
1476,GoldenPyrex,GPYX,"$357,204 ",357204,$0.04 ,"9,999,999 GPYX *",9999999,$184 ,1.79%,4.81%,-2.36%
1477,Beetle Coin,BEET,"$327,473 ",327473,$0.00 ,"242,773,064 BEET",242773064,"$47,868 ",1.67%,-4.52%,-1.83%
1478,TrezarCoin,TZC,"$354,691 ",354691,$0.00 ,"225,859,600 TZC",225859600,"$1,066 ",1.92%,3.88%,-5.15%
1479,SPINDLE,SPD,"$350,099 ",350099,$0.00 ,"3,521,564,890 SPD *",3521564890,$?,-0.16%,-12.45%,-27.94%
1480,Blocery,BLY,"$348,042 ",348042,$0.02 ,"17,562,574 BLY *",17562574,"$111,791 ",0.27%,1.00%,-1.91%
1481,DPRating,RATING,"$350,541 ",350541,$0.00 ,"2,576,031,479 RATING *",2576031479,"$11,746 ",0.91%,2.85%,-0.05%
1482,IP Exchange,IPSX,"$347,010 ",347010,$0.00 ,"943,181,787 IPSX *",943181787,$?,2.24%,0.06%,-0.98%
1483,Phoenixcoin,PXC,"$344,727 ",344727,$0.00 ,"80,330,975 PXC",80330975,$170 ,-1.03%,3.80%,6.94%
1484,Snovian.Space,SNOV,"$344,670 ",344670,$0.00 ,"363,303,678 SNOV *",363303678,$?,2.25%,0.06%,-13.13%
1485,Martkist,MARTK,"$343,565 ",343565,$0.03 ,"13,445,025 MARTK",13445025,"$3,577 ",1.16%,-15.32%,-43.38%
1486,FortKnoxster,FKX,"$344,029 ",344029,$0.00 ,"149,077,343 FKX *",149077343,$70 ,2.21%,0.37%,0.04%
1487,IDEX Membership,IDXM,"$341,508 ",341508,$170.75 ,"2,000 IDXM *",2000,$?,2.24%,0.06%,-14.31%
1488,Insight Protocol,INX,"$340,933 ",340933,$0.02 ,"16,232,451 INX *",16232451,"$136,659 ",0.55%,9.79%,-20.58%
1489,Winco,WCO,"$339,745 ",339745,$0.00 ,"480,480,624 WCO *",480480624,$?,1.79%,4.10%,6.64%
1490,Moneynet,MNC,"$340,470 ",340470,$0.00 ,"3,662,307,217 MNC *",3662307217,$?,2.24%,29.03%,-22.98%
1491,MintMe.com Coin,MINTME,"$339,387 ",339387,$0.00 ,"185,590,144 MINTME",185590144,$890 ,1.79%,-2.41%,6.64%
1492,WinStars.live,WNL,"$337,251 ",337251,$0.02 ,"18,936,856 WNL *",18936856,"$10,939 ",1.82%,3.49%,-35.09%
1493,SIBCoin,SIB,"$336,726 ",336726,$0.02 ,"18,742,192 SIB",18742192,$590 ,5.15%,3.10%,-9.68%
1494,EventChain,EVC,"$336,648 ",336648,$0.01 ,"31,250,497 EVC *",31250497,"$4,524 ",3.84%,0.93%,17.89%
1495,Evedo,EVED,"$367,825 ",367825,$0.03 ,"13,671,790 EVED *",13671790,"$514,993 ",1.18%,-7.51%,-6.99%
1496,XEL,XEL,"$335,295 ",335295,$0.00 ,"91,676,277 XEL *",91676277,$120 ,1.79%,4.10%,-0.03%
1497,IQ.cash,IQ,"$371,153 ",371153,$0.03 ,"11,962,738 IQ",11962738,"$174,334 ",1.10%,13.09%,-8.99%
1498,Block-Logic,BLTG,"$333,502 ",333502,$0.01 ,"22,899,329 BLTG *",22899329,$578 ,7.81%,-12.30%,-13.93%
1499,EtherGem,EGEM,"$333,218 ",333218,$0.02 ,"19,483,114 EGEM",19483114,"$32,309 ",-3.16%,29.85%,24.71%
1500,Japan Content Token,JCT,"$333,711 ",333711,$0.00 ,"293,150,782 JCT *",293150782,$?,2.24%,0.06%,-0.98%
1501,Havy,HAVY,"$332,381 ",332381,$0.00 ,"7,816,654,582 HAVY *",7816654582,$?,1.81%,3.91%,39.91%
1502,AidCoin,AID,"$332,010 ",332010,$0.01 ,"44,800,978 AID *",44800978,$589 ,1.77%,-11.02%,-19.14%
1503,Rewardiqa,REW,"$331,604 ",331604,$0.03 ,"10,000,000 REW *",10000000,$35 ,1.79%,5.26%,-75.01%
